Comments_Field,Comment_Attr_val,Comment_cleaned_text,Comment_Fuzzy_wuzzy,Comment_Score,
Comment,FELDSPARS DEFINE WEAK FOLIATION,feldspars define weak foliation,Other,58,
Comment,Feldspars masked by sericite alteration,feldspars masked by sericite alteration,Other,61,
Comment,Feldspars range from cryptic to well defined,feldspars range from cryptic to well defined,Other,47,
Comment,FELDSPARS SUB TO EUHEDRAL,feldspars sub to euhedral,Other,58,
Comment,Feldspars to 5mm,feldspars to 5mm,Other,61,
Comment,"FELDSPARS UP TO 10MM 3 TO 6MM COMMONLY ABUNDANT","feldspars up to 10mm  3 to 6mm commonly  abundant",Other,42,
Comment,FELDSPARS VARIABLY ALTERED TO CHLORITE,feldspars variably altered to chlorite,Other,56,
Comment,"Feldspars vintact in coarse seds not ion finer seds.","feldspars vintact in coarse seds  not ion finer seds ",Other,71,
Comment,"Feldspar to 3mm regular quartz ~2mm mas white quartz veining 709.7-710.1 & 719.5-719.9m epidote 719.8m occassional quartz carb veining 5-10mm width.Vein Int=M and Vein_Max_Width=5","feldspar to 3mm  regular quartz ~2mm  mas white quartz veining 709 7 710 1   719 5 719 9m  epidote 719 8m  occassional quartz carb veining 5 10mm width ",vein,100,
Comment,feldspathic litharenite.,feldspathic litharenite ,sandstone,90,
Comment,FELDS-PHYRIC AND QTZ-PHYRIC CLASTS IN DACITE MATRIX,felds phyric and qtz phyric clasts in dacite matrix,dacite,100,
Comment,Felds phyric dacite. Feldspars increase in abundance with increasing depth fg chl rich groundmass.,felds phyric dacite  feldspars increase in abundance with increasing depth fg chl rich groundmass ,dacite,100,
Comment,Felds phyric fol dacite.,felds phyric fol dacite ,dacite,101,
Comment,Felds phyric massive dacite.,felds phyric massive dacite ,dacite,101,
Comment,Felds phyric weakly fol dac w clt altn in Gmass.,felds phyric weakly fol dac w clt altn in g mass ,Other,40,
Comment,Feldsp phyric dacite weakly fol w moderately fol zones very weak patchy epidote alteration in groundmass w ser altn in clasts.,feldsp phyric dacite weakly fol w moderately fol zones very weak patchy epidote alteration in groundmass w ser altn in clasts ,dacite,100,
Comment,FELDS TO 10.5mm,felds to 10 5mm,Other,46,
Comment,FELDS TO 1mm,felds to 1mm,Other,53,
Comment,FELDS TO 2mm,felds to 2mm,Other,53,
Comment,FELDS TO 2mm BROKEN AND DISCED CORE FROM CONTACT,felds to 2mm broken and disced core from contact,Other,67,
Comment,felds to 2mm Qtz to 5mm,felds to 2mm qtz to 5mm,Other,48,
Comment,"felds to 2mm Qtz to 5mm 415-417 bx angular clasts insitu frac with qtz carb","felds to 2mm qtz to 5mm  415 417 bx angular clasts insitu frac with qtz carb",Other,40,
Comment,"felds to 2mm Qtz to 5mm strongly altd","felds to 2mm qtz to 5mm  strongly alt d",Other,52,
Comment,"FELD TO 10MM Qtz to 10mm","feld to 10mm  qtz to 10mm",Other,48,
Comment,FELD TO 12MM,feld to 12mm,Other,43,
Comment,"Feld to 12mm qtz to 4mm","feld to 12mm  qtz to 4mm",Other,44,
Comment,Feld to 1.5cm,feld to 1 5cm,Other,50,
Comment,FELD TO 15MM,feld to 15mm,Other,43,
Comment,FELD TO 1 CM,feld to 1 cm,Other,52,
Comment,"Feld to 1cm eudedral","feld to 1cm  eudedral",Other,50,
Comment,"FELD TO 1CM. QTZ TO 8MM FEW DLT FINGERS <1CM","feld to 1cm  qtz to 8mm  few dlt fingers  1cm",Other,40,
Comment,Feld to 1mm,feld to 1mm,Other,45,
Comment,"FELD TO 1MM QVN","feld to 1mm  qvn",Other,42,
Comment,Feld to 2 cm,feld to 2 cm,Other,52,
Comment,Feld to 2mm,feld to 2mm,Other,45,
Comment,Feld to 2 mm,feld to 2 mm,Other,52,
Comment,"FELD TO 2MM MODERATELY FOLIATED","feld to 2mm  moderately foliated",Other,46,
Comment,"Feld to 2mm Qtz to 1mm","feld to 2mm  qtz to 1mm",Other,45,
Comment,"FELD TO 2MM QVN","feld to 2mm  qvn",Other,42,
Comment,Feld to 3mm,feld to 3mm,Other,45,
Comment,FELD TO 3MM,feld to 3mm,Other,45,
Comment,FELD TO 4MM,feld to 4mm,Other,45,
Comment,"FELD TO 4MM CLST TO 10CM","feld to 4mm  clst to 10cm",Other,43,
Comment,"FELD TO 4MM QTZ TO 4MM","feld to 4mm  qtz to 4mm",Other,49,
Comment,FELD TO .5CM,feld to  5cm,Other,55,
Comment,"FELD TO .5CM FINGER OF POST DACITE","feld to  5cm  finger of post dacite",dacite,100,
Comment,Feld to 5mm,feld to 5mm,Other,45,
Comment,"FELD TO 6MM DECREASE IN FOLN DOWNHOLE. SINGLE 20CM VBX CLAST","feld to 6mm  decrease in foln downhole  single 20cm vbx clast",Other,36,
Comment,Feld to 6mm Epi veins,feld to 6mm epi veins,vein,101,
Comment,"FELD TO 6 MM QTZ TO 4 MM","feld to 6 mm  qtz to 4 mm",Other,46,
Comment,Feld to 8mm,feld to 8mm,Other,45,
Comment,"Feld up to 10mm foliation close to contacts.","feld up to 10mm  foliation close to contacts ",Other,38,
Comment,Feld up to 2cm in unsheared zones,feld up to 2cm in unsheared zones,Other,45,
Comment,felic horizon,felic horizon,Other,55,
Comment,"FELS ALMOST DESTROYED FINING DOWN HOLE ELONGATE CLASTS 295-296m ABX?","fels almost destroyed  fining down hole  elongate clasts 295 296m abx",Other,35,
Comment,"FELS BETTER DEFINED DOWNHOLE COMMON SMALL QZ CLT ALT INCREASING DOQN HOLE HIGHLIGHTS FOLIATION","fels better defined downhole  common small qz  clt alt increasing doqn hole highlights foliation",Other,33,
Comment,FELSDS PHENO POOR DAC. ALTERNATING COARSE / FINE UNITS GRADED FLOWS?,felsds pheno poor dac  alternating coarse fine units,Other,71,
Comment,felsic?,felsic,felsic,101,
Comment,Felsic,felsic,felsic,101,
Comment,Felsic + Amph chlotite Alt,felsic + amph chlotite alt,felsic,100,
Comment,"felsic aphyric glassy hyaloclastite  poss surface of rhylite flow or dome petro","felsic aphyric glassy hyaloclastite   poss surface of rhylite flow or dome ",hyaloclastite,100,
Comment,felsic clasts to 3cm,felsic clasts to 3cm,felsic,100,
Comment,Felsic clasts up to 100mm; foliation prominent at top and bottom of interval.,felsic clasts up to 100mm  foliation prominent at top and bottom of interval ,felsic,100,
Comment,felsic clayey sap schist + qz vein,felsic clayey sap schist + qz vein,vein,101,
Comment,felsic cobble bx; small chloritic clasts; possible fine slst between some larger clasts,felsic cobble bx  small chloritic clasts  possible fine slst between some larger clasts,felsic,100,
Comment,"Felsic dacite well developed feldspars dark/brown groundmass","felsic dacite  well developed feldspars  dark brown groundmass",dacite,100,
Comment,? FELSIC IGNEOUS.,felsic igneous ,felsic,100,
Comment,felsic int.,felsic int ,felsic,100,
Comment,felsic intrusion,felsic intrusion,felsic,100,
Comment,Felsic Intrusiv?,felsic intrusiv,felsic,100,
Comment,Felsic Intrusive?,felsic intrusive,felsic,100,
Comment,FELSIC INTRUSIVE ASSUMED RHP,felsic intrusive assumed rhp,felsic,100,
Comment,"Felsic intrusive in basalt. Initial thoughs were that it was a v. v. v. Si altereter tonalite but this seems less likely however strong silica alt probably explains gradual transition to country rock","felsic intrusive in basalt  initial thoughs were that it was a v  v  v  si altereter tonalite  but this seems less likely  however strong silica alt probably explains gradual transition to country rock",tonalite,100,
Comment,felsic intrusive with trace py,felsic intrusive with trace py,felsic,100,
Comment,felsic int. undiff.,felsic int   ,felsic,100,
Comment,felsic rock of qz-bt-serc + dissem py cubes,felsic rock of qz bt serc + dissem py cubes,rock,100,
Comment,felsic schist with serc-py alteration,felsic schist with serc py alteration,schist,100,
Comment,felsic schit with abund mic,felsic schit with abund mic,felsic,100,
Comment,Felsic unit bedding,felsic unit bedding,felsic,100,
Comment,Felsic volcanic bedding,felsic volcanic bedding,felsic,100,
Comment,Felsic volcanic bedding too faint,felsic volcanic bedding too faint,felsic,100,
Comment,Felsic Volcanic? Rhyolite?,felsic volcanic rhyolite,rhyolite,101,
Comment,Felsic Volcanics?,felsic volcanics,felsic,100,
Comment,FELS LESS OBVIOUS AND STRETCHED IN FOLIATION,fels less obvious and stretched in foliation,Other,42,
Comment,FELS MODERATELY PRESERVED - PROBABLY INTRUSIVE,fels moderately preserved   probably intrusive,Other,43,
Comment,Felspar and qtz phyric rhyodacite with patchy se and clt alteration. Numerous stringer carbonate veining with small zones of tectonic brecciation. Generally massive coherent body.,felspar and qtz phyric rhyodacite with patchy se and clt alteration  numerous stringer carbonate veining with small zones of tectonic brecciation  generally massive coherent body ,carbonate,100,
Comment,"felspar phyric and PER BT from 290m feldspars unaltered Si and Clt alteration associated with FLTZ andQV","felspar phyric and per bt from 290m  feldspars unaltered  si and clt alteration associated with fltz andqv",Other,40,
Comment,"FELS PHENOS 2 mm WISPY BANDS SE ALT","fels phenos 2 mm  wispy bands se alt",Other,53,
Comment,"fels phenos stretched in foliation quartz mostly rounded phenos dec size d/h","fels phenos stretched in foliation  quartz mostly rounded  phenos dec size d h",vein,100,
Comment,"FELS PHENOS VARIABLY ALTERED AND DISTRIBUTED COMMONLY 5mm ZONES OF INDISTINCT STRETCHED PHENOS AND ZONES OF TABULAR PHENOS WITH CLT ALT RIMS AND ZONES OF UNALT PHENOS","fels phenos variably altered and distributed  commonly 5mm  zones of indistinct stretched phenos  and zones of tabular phenos with clt alt rims  and zones of unalt phenos",Other,40,
Comment,"FELS PHYIC DAC SI-SE CLASTS IN DAC GMASS PATCHY ALT FOW TOWARDS BASE","fels phyic dac si se clasts in dac gmass  patchy alt  fow towards base",Other,40,
Comment,"FELS PHYRIC DAC 2-3MM FELS 2MM QTZ CLT // FOLN","fels phyric dac  2 3mm fels  2mm qtz  clt fol n",Other,38,
Comment,"FELS PHYRIC DAC 2MM FELS.","fels phyric dac  2mm fels ",Other,53,
Comment,"Fels-phyric massive dacite fels relatively small 1/2 - 2mm evenly distributed randomly oriented generally squat.  Dark green chlorite highlights minor fracturing.","fels phyric massive dacite  fels relatively small   evenly distributed  randomly oriented  generally squat  dark green chlorite highlights minor fracturing ",dacite,100,
Comment,"FELS-PHYRIC PHENOS ALTERED TO CLT AND STRETCHED IN ZONES","fels phyric  phenos altered to clt and stretched in zones",Other,41,
Comment,FELS PHYRIC SI ANGULAR DAC CLASTS UP TO 100mm IN FELS PHYRIC DAC GMASS,fels phyric si angular dac clasts in fels phyric dac gmass,Other,43,
Comment,fels  & qtz phyric dac,fels   qtz phyric dac,Other,53,
Comment,FELS & QTZ PHYRIC DAC BX-VBX,fels   qtz phyric dac bx vbx,Other,46,
Comment,"FELS & QTZ  RICH DAC CLT // FOLN WISPY FLECKS OF CLT GHOSTED FELS","fels   qtz rich dac  clt fol n  wispy flecks of clt  ghosted fels",Other,39,
Comment,fels & QZ phyric siliceous dacite clasts in a  CLT alt fels phyric dacitic g/mass,fels   qz phyric siliceous dacite clasts in a clt alt fels phyric dacitic g mass,dacite,100,
Comment,"FELS VAGUE SOME QZ","fels vague  some qz",Other,55,
Comment,Felted?,felted,Other,77,
Comment,Felted and si alt,felted and si alt,Other,53,
Comment,FE mottling,fe mottling,Other,56,
Comment,Feo,feo,Other,46,
Comment,Feo alt gmass and clt phenos,feo alt g mass and clt pheno s,Other,42,
Comment,Feo alt sdst ans slst in feo alt sap clays w/ minor kaol. Weakly goss.,feo alt sdst ans slst in feo alt sap clays w minor kaol  weakly goss ,mud,100,
Comment,Feo and clay,feo and clay,mud,101,
Comment,Feo sap clays w/ rounded sdst chips. Trace chalcocite / goss,feo sap clays w rounded sdst chips  trace chalcocite goss,mud,100,
Comment,FeO Staining on joints,feo staining on joints,Other,46,
Comment,FeOxd joints/fractures/veins;non-magnetic,feoxd joints fractures veins non magnetic,vein,100,
Comment,FEOX GRAVEL,feox gravel,gravel,101,
Comment,"Feoxide 2mm subrounded Feoxide nodules & fine qz grains","feoxide  2mm subrounded feoxide nodules   fine qz grains",nodules,100,
Comment,"Feoxide & white silcrete chips 9-11mm subrounded qz grains","feoxide   white silcrete chips  9 11mm subrounded qz grains",silcrete,100,
Comment,"Feoxide & white silcrete chips minor white clays trace of 1-1.5mm subrounded to subangular qz grains","feoxide   white silcrete chips  minor white clays  trace of 1 1 5mm subrounded to subangular qz grains",mud,100,
Comment,FEOX/LIM ON FRACT,feox lim on fract,Other,50,
Comment,feox stained,feox stained,Other,61,
Comment,feox stain in matrix.,feox stain in matrix ,Other,55,
Comment,Feox stain sand<1mm with common pisol pebbles<10mm,feox stain sand 1mm with common pisol pebbles 10mm,bioclastic,100,
Comment,FE REPLACING CHL SCH?,fe replacing chl sch,Other,50,
Comment,"FE REPLACING SCH CHL?","fe replacing sch  chl",Other,50,
Comment,FE RICH L G CY WITH MINOR IR PEBS,fe rich l g cy with minor ir pebs,Other,53,
Comment,? FE RICH MOTTLED ZONE AND PURPLE INDURATED SAPROLITE/CLAY,fe rich mottled zone and purple indurated saprolite clay,mud,101,
Comment,Feriginous In Part,feriginous in part,Other,59,
Comment,Feriginous in parts,feriginous in parts,Other,62,
Comment,ferrginous nodules present,ferrginous nodules present,nodules,100,
Comment,FERRICRETE HARDPAN,ferricrete hardpan,ferricrete,100,
Comment,"FERRICRETEPISOLITIC","ferricrete pisolitic",ferricrete,100,
Comment,Ferriginous in parts,ferriginous in parts,Other,65,
Comment,Ferriginous In Parts,ferriginous in parts,Other,65,
Comment,ferrug altered dolerite,ferrug altered dolerite,dolerite,101,
Comment,ferrug bi-mus schist,ferrug bi mus schist,schist,101,
Comment,ferrug carb soil + transported ironstone,ferrug carb soil + transported ironstone,ironstone,101,
Comment,ferrug clayey sap + dolerite,ferrug clayey sap + dolerite,dolerite,101,
Comment,ferrug clay+qz sap,ferrug clay+qz sap,mud,100,
Comment,ferrug doleritic saprock,ferrug doleritic saprock,saprock,101,
Comment,FERRUG EX SULPHIDE?,ferrug ex sulphide,massive_sulphide,101,
Comment,ferrug felsic to intermediate schist with partially oxidised pyrite,ferrug felsic to intermediate schist with partially oxidised pyrite,massive_sulphide,101,
Comment,"FERRUG/HAEM SCH GOSSANOUS","ferrug haem sch  gossanous",Other,54,
Comment,FERRUG/HAEM SCH/SPLT,ferrug haem sch splt,Other,47,
Comment,ferruginisation along old joints in rock,ferruginisation along old joints in rock,rock,101,
Comment,"ferruginised dark apple green clays carbonate frags obsvd @ 16m","ferruginised  dark apple green clays  carbonate frags obsvd   16m",carbonate,100,
Comment,"ferruginised EOH.","ferruginised  eoh ",Other,62,
Comment,"ferruginised particles/nodules with llight apple green clays greasy feel","ferruginised particles nodules with llight apple green clays  greasy feel",nodules,100,
Comment,Ferruginised shst,ferruginised shst,Other,61,
Comment,ferruginised & silicified,ferruginised   silicified,Other,56,
Comment,"Ferruginization again increases still definite saprock. Probably more related to fracture frequency than weathering intensity","ferruginization again increases  still definite saprock  probably more related to fracture frequency than weathering intensity",saprock,100,
Comment,Ferruginized sediments,ferruginized sediments,sediments,101,
Comment,"Ferruginized siliceous foliated basalt LFs in clayey sap.","ferruginized  siliceous  foliated basalt lfs in clayey sap ",basalt,100,
Comment,"Ferruginized weakly coherent transported seds","ferruginized  weakly coherent transported seds",colluvium,100,
Comment,ferruginos duricrust,ferruginos duricrust,duricrust,101,
Comment,Ferruginous,ferruginous,ferruginous_deposits,81,
Comment,Ferruginous and siliceous/kaolinitic duricrust,ferruginous and siliceous kaolinitic duricrust,duricrust,101,
Comment,Ferruginous clay,ferruginous clay,mud,101,
Comment,FERRUGINOUS CLAY,ferruginous clay,mud,101,
Comment,Ferruginous duricrust,ferruginous duricrust,duricrust,101,
Comment,Ferruginous duricrust - may be artificialy transported,ferruginous duricrust   may be artificialy transported,colluvium,101,
Comment,"ferruginous frags still present now strongly siliceous otherwise as above","ferruginous frags still present  now strongly siliceous  otherwise as above",Other,78,
Comment,ferruginous frags with chalcedony and silicified clays,ferruginous frags with chalcedony and silicified clays,mud,101,
Comment,ferruginous gravelly duricrust,ferruginous gravelly duricrust,duricrust,101,
Comment,Ferruginous lateritic nodules,ferruginous lateritic nodules,nodules,101,
Comment,ferruginous/lateritic nodules present,ferruginous lateritic nodules present,nodules,100,
Comment,ferruginous nodules common,ferruginous nodules common,nodules,100,
Comment,"ferruginous nodules/frags with minor sub-chalcedonic silicified clays","ferruginous nodules frags with minor  sub chalcedonic silicified clays",nodules,100,
Comment,ferruginous nodules in green-redbrown clays,ferruginous nodules in green redbrown clays,mud,101,
Comment,ferruginous nodules in grey grey-green clays,ferruginous nodules in grey grey green clays,mud,101,
Comment,ferruginous nodules major constituent,ferruginous nodules major constituent,nodules,100,
Comment,"ferruginous nodules mod silicified","ferruginous nodules  mod silicified",nodules,100,
Comment,ferruginous nodules present,ferruginous nodules present,nodules,100,
Comment,"ferruginous nodules present EOH.","ferruginous nodules present  eoh ",nodules,100,
Comment,ferruginous nodules present notquite lateritic,ferruginous nodules present,nodules,100,
Comment,ferruginous nodules with apple green clays,ferruginous nodules with apple green clays,mud,101,
Comment,Ferruginous schist,ferruginous schist,schist,101,
Comment,Ferruginous transported seds,ferruginous transported seds,colluvium,100,
Comment,"Ferruginous vughy","ferruginous  vughy",Other,67,
Comment,Ferruginous weakly coherent transported seds + narrow bands of siliceous material,ferruginous weakly coherent transported seds + narrow bands of siliceous material,colluvium,100,
Comment,ferrug irnstone lag,ferrug irnstone lag,lag,101,
Comment,"Ferrug Latt w dk red bn fe rich spots nods and abund colluv qtz grains.","ferrug latt  w dk red bn fe rich spots and abund colluv qtz grains ",spots,100,
Comment,ferrug mafic,ferrug mafic,mafic,101,
Comment,ferrug mafic sap,ferrug mafic sap,mafic,100,
Comment,ferrug mafic saprock,ferrug mafic saprock,saprock,101,
Comment,ferrug mafic sap schist + ironstone,ferrug mafic sap schist + ironstone,ironstone,101,
Comment,ferrug mafic schist sap,ferrug mafic schist sap,schist,100,
Comment,ferrug micaceous doleritic mafic,ferrug micaceous doleritic mafic,mafic,101,
Comment,ferrug micaceous mafic schist,ferrug micaceous mafic schist,schist,101,
Comment,ferrug micaceous mafic schist + amph {dol?},ferrug micaceous mafic schist + amph {dol},schist,100,
Comment,ferrug mica schist,ferrug mica schist,schist,101,
Comment,ferrug mica schist weak qz,ferrug mica schist weak qz,schist,100,
Comment,ferrug mic schist,ferrug mic schist,schist,101,
Comment,ferrug mottled clay with abund ironstone,ferrug mottled clay with abund ironstone,ironstone,101,
Comment,ferrug mottled indurated clay with ironstone,ferrug mottled indurated clay with ironstone,ironstone,101,
Comment,ferrug mu-cly schist,ferrug mu cly schist,schist,101,
Comment,Ferrugnized seds and white clay - actual ground level begins here,ferrugnized seds and white clay   actual ground level begins here,mud,100,
Comment,"ferrugonous frags gone stongly silicified nearly cherty minor apple green","ferrugonous frags gone  stongly silicified   minor apple green",Other,38,
Comment,ferrug qzvn + mic schist,ferrug qzvn + mic schist,schist,101,
Comment,ferrug sap,ferrug sap,Other,54,
Comment,ferrug sap clay,ferrug sap clay,mud,101,
Comment,ferrug sap clays,ferrug sap clays,mud,101,
Comment,ferrug sap clay with iron rich sap chips + ironstone,ferrug sap clay with iron rich sap chips + ironstone,ironstone,101,
Comment,ferrug sap + ironstone,ferrug sap + ironstone,ironstone,101,
Comment,ferrug sap mafic schist,ferrug sap mafic schist,schist,101,
Comment,ferrug sap + qz,ferrug sap + qz,Other,48,
Comment,ferrug sap + rare ferrug schist,ferrug sap + rare ferrug schist,schist,101,
Comment,ferrug saprock to bedrock dolerite,ferrug saprock to bedrock dolerite,dolerite,101,
Comment,ferrug sap schist,ferrug sap schist,schist,101,
Comment,ferrug sap schist with strong spotting/speckled poss ex-py pitting,ferrug sap schist with strong spotting speckled poss ex py pitting,schist,100,
Comment,ferrug sap with ironstone,ferrug sap with ironstone,ironstone,101,
Comment,ferrug sap with irontone,ferrug sap with irontone,Other,58,
Comment,"FERRUG SCH FEOX OF FRACTLAM SLST","ferrug sch  feox of fract lam slst",Other,41,
Comment,ferrug schist poss ex-mafic,ferrug schist poss ex mafic,mafic,101,
Comment,ferrug schist sap,ferrug schist sap,schist,100,
Comment,ferrug schist saprock,ferrug schist saprock,saprock,101,
Comment,"FERRUG SCH QTZ VN SER SCH","ferrug sch  qtz vn  ser sch",Other,45,
Comment,ferrug silicified mafic sap,ferrug silicified mafic sap,mafic,100,
Comment,"FERRUG SILT SAND COFFEE ROCK","ferrug silt  sand  coffee rock",bioclastic,100,
Comment,ferrug soil + qz float lag,ferrug soil + qz float lag,lag,101,
Comment,ferrug weathered schist + oxidised pyrite,ferrug weathered schist + oxidised pyrite,massive_sulphide,101,
Comment,Ferruinized sediments,ferruinized sediments,sediments,101,
Comment,FERUGINOUS CLAY WITH SMALL SILICEOUS FRAGMENTS OF DACITE,feruginous clay with small siliceous fragments of dacite,dacite,101,
Comment,FERUGINOUS SILISIFIED MATERIAL,feruginous silisified material,Other,56,
Comment,ferug qz-ser-mus schist + qtz,ferug qz ser mus schist + qtz,schist,100,
Comment,ferug qzvn,ferug qzvn,Other,54,
Comment,ferug sap,ferug sap,Other,56,
Comment,FESCH?,fesch,Other,73,
Comment,FE SCHIST?,fe schist,schist,101,
Comment,FESI Alt largely localized on fractures,fesi alt largely localized on fractures,Other,45,
Comment,FE-SILICEOUS HARDCAP,fe siliceous hardcap,Other,78,
Comment,"fe stained metu->msi altn vu si feox vnlts.","fe stained metu msi altn  vu si  feox vnlts ",Other,41,
Comment,FE STAINING AROUND QBVNS,fe staining around qbvn s,Other,45,
Comment,FE staining on joints,fe staining on joints,Other,47,
Comment,Fe staining on joints and fractures,fe staining on joints and fractures,Other,44,
Comment,Fe staining on joints. Common crumbly pale green yellow clay mineral occurs on joints. Unweathered DLT apparent,fe staining on joints  common crumbly pale green yellow clay mineral occurs on joints  unweathered dlt apparent,mud,100,
Comment,Fe staining on joints. Hints of crumbly pale green yellow clay mineral on joints.,fe staining on joints  hints of crumbly pale green yellow clay mineral on joints ,mud,100,
Comment,FEW 1mm CB VEINS,few 1mm cb veins,vein,101,
Comment,FEW ACICULAR CRYS IN GR,few acicular crys in gr,Other,44,
Comment,Few acicular crystals,few acicular crystals,Other,48,
Comment,Few acicular crystals. Tr py.,few acicular crystals  tr py ,Other,46,
Comment,"FEW BLUE QTZ VERY AMYGDALE RICH","few blue qtz  very amygdale rich",Other,49,
Comment,FEW CB VEINS,few cb veins,vein,101,
Comment,"FEW CB VEINS 1-2mm","few cb veins  1 2mm",vein,100,
Comment,FEW CB VEINS TO 1mm,few cb veins to 1mm,vein,100,
Comment,FEW CB VEINS TO 2mm,few cb veins to 2mm,vein,100,
Comment,FEW CB VEINS TO 3mm,few cb veins to 3mm,vein,100,
Comment,FEW CB VEINS TO 6mm,few cb veins to 6mm,vein,100,
Comment,"FEW CB VN1-2mm","few cb vn 1 2mm",Other,35,
Comment,FEW CLASTS OF GG6 Slst,few clasts of gg6 slst,Other,50,
Comment,fe weathering from ol,fe weathering from ol,Other,54,
Comment,FEWER AMYGDALES,fewer amygdales,Other,46,
Comment,fewer clasts,fewer clasts,Other,57,
Comment,"fewer obvious amygdales than above; sharp fol sericitic lower contact","fewer obvious amygdales than above  sharp  fol  sericitic lower contact",Other,67,
Comment,fewer  smaller quartz eyes,fewer smaller quartz eyes,vein,100,
Comment,FEW EXTN QTZ VEINS,few extn qtz veins,vein,101,
Comment,Few ghosted <2mm fspar,few ghosted  2mm f spar,Other,47,
Comment,few large qtz phenos obvious,few large qtz phenos obvious,Other,50,
Comment,few lithic clasts,few lithic clasts,Other,67,
Comment,"FEW MF MINOR DEWATER STRUCTURES","few mf  minor dewater structures",Other,42,
Comment,"FEW MF SC ZONES CHLORITIC?","few mf  sc zones chloritic",Other,55,
Comment,FEWPYBLEBS20X3MM,fewpyblebs20x3mm,Other,43,
Comment,FEW RECUMB FOLDS,few recumb folds,Other,45,
Comment,FEWSLTBANDS1CM,fewsltbands1cm,Other,52,
Comment,FEWSLTBANDSTO1CM,fewsltbandsto1cm ,Other,56,
Comment,FEWSLTST,fewsltst,Other,59,
Comment,"FEW TB BEDS PART CRYS","few tb beds  part crys",Other,45,
Comment,FEW TUFF BEDS TO 8cm,few tuff beds to 8cm,tuff,100,
Comment,Few zones of fph,few zones of fph,Other,47,
Comment,Ffeo alt sdst and kaol alt slst chips. Trace goss?,ffeo alt sdst and kaol alt slst chips  trace goss,Other,47,
Comment,Ffg mod fol post min rhy.,ffg mod fol post min rhy ,Other,49,
Comment,Ffg to mg sdbx w rare fsph strongly fol w qtz at top.,ffg to mg sdbx w rare fsph strongly fol w qtz at top ,Other,35,
Comment,FG,fg,Other,40,
Comment,fg banded-boudinage Si/Se alt SLST? With mnr coarser Clt alt material in fract // bedding; rip up clasts? In rhyodac gmass?,fg banded boudinage si se alt slst with mnr coarser clt alt material in fract bedding  rip up clasts in rhyodac g mass,Other,71,
Comment,fg banded chilled dolerite ? With shearing // core axis and banding; qtz vn lenses in shears; Clt in fract along shears; lim stain in fract and shears.,fg banded chilled dolerite with shearing core axis and banding  qtz vn lenses in shears  clt in fract along shears  lim stain in fract and shears ,dolerite,100,
Comment,fg banded lam chl alt SLST; silic alt on some bands; becomes frc at base,fg banded lam chl alt slst  silic alt on some bands  becomes frc at base,Other,71,
Comment,fg banded-lam chl alt SLST; silic alt on some bands; common stringer pyr; 952.8-954 chalco+/-pyrrho assoc pyr string,fg banded lam chl alt slst  silic alt on some bands  common stringer pyr  952 8 954 chalco+  pyrrho assoc pyr string,Other,71,
Comment,FG banded SE alt SLST? With wispy SE in fract//bands.,fg banded se alt slst with wispy se in fract bands ,Other,71,
Comment,Fg banded silty sdst interbed with mg fsph sdst; mnr vbx band at top; perv si alt stronger in fg sdst bands; feld < 2mm - incr fsph bands at base; wispy clt // wk fol in fsph bands.,fg banded silty sdst interbed with mg fsph sdst  mnr vbx band at top  perv si alt stronger in fg sdst bands  feld   2mm   incr fsph bands at base  wispy clt wk fol in fsph bands ,Other,71,
Comment,fg banded Si/Se alt SLST? With mod fol Se alt QZPH rhyodac; rdd-subrdd qtz<6mm; common patchy dissem pyr in rhyodac; mnr small lenses rhyodac in SLST? - large rip up clasts,fg banded si se alt slst with mod fol se alt qzph rhyodac  rdd subrdd qtz 6mm  common patchy dissem pyr in rhyodac  mnr small lenses rhyodac in slst   large rip up clasts,Other,71,
Comment,fg banded SLST-perv Si with domainal wispy Se // fol defining banding,fg banded slst perv si with domainal wispy se fol defining banding,Other,71,
Comment,"FG basaltic saprock well defined foliation","fg basaltic saprock  well defined foliation",saprock,100,
Comment,"FG basaltic saprock well defined foliation increased limonite","fg basaltic saprock  well defined foliation  increased limonite",saprock,100,
Comment,FG BROWN PURPLE DAC,fg brown purple dac,Other,56,
Comment,fg Ca & Clt alt dolerite; chilled margins at both contacts; 505.9-506.2m fol dac as above,fg ca   clt alt dolerite  chilled margins at both contacts  505 9 506 2m fol dac as above,dolerite,100,
Comment,fg chilled dolerite dykes with patchy carb alt & mas ser alt QZPH RHD with spotty chl alt & mnr string pyr,fg chilled dolerite dykes with patchy carb alt   mas ser alt qzph rhd with spotty chl alt   mnr string pyr,dolerite,100,
Comment,"FG chilled margins small DAC intrusion near base of DLT 20cm width","fg chilled margins  small dac intrusion near base of dlt 20cm width",Other,35,
Comment,Fg chilled mas ca / Clt dolerite with sharp intrusive contacts top + bottom - innr venolith m - cg dolerite at top patchy dissem flecks biot.,fg chilled mas ca clt dolerite with sharp intrusive contacts top + bottom   innr venolith m   cg dolerite at top patchy dissem flecks biot ,dolerite,100,
Comment,f.g clt/ca alt dlt with clasts of FSPH dac; qz and ca veining,f g clt ca alt dlt with clasts of fsph dac  qz and ca veining,Other,40,
Comment,Fg clt / ca alt dolerite chilled throughout.,fg clt ca alt dolerite chilled throughout ,dolerite,100,
